date,county,state,fips,cases,deaths
2021/5/1,Abbeville,South Carolina,45001,2559,41
2021/5/1,Acadia,Louisiana,22001,6481,192
2021/5/1,Accomack,Virginia,51001,2811,41
2021/5/1,Ada,Idaho,16001,51610,462
2021/5/1,Adair,Missouri,29001,2453,20
2021/5/1,Adair,Iowa,19001,860,32
2021/5/1,Adair,Oklahoma,40001,3170,41
2021/5/1,Adair,Kentucky,21001,1847,53
2021/5/1,Adams,North Dakota,38001,269,3
2021/5/1,Adams,Iowa,19003,337,4
2021/5/1,Adams,Idaho,16003,339,4
2021/5/1,Adams,Wisconsin,55001,1891,17
2021/5/1,Adams,Washington,53001,2092,22
2021/5/1,Adams,Nebraska,31001,2905,43
2021/5/1,Adams,Ohio,39001,2343,52
2021/5/1,Adams,Indiana,18001,3463,55
2021/5/1,Adams,Mississippi,28001,2567,82
2021/5/1,Adams,Illinois,17001,8325,148
2021/5/1,Adams,Pennsylvania,42001,9138,171
2021/5/1,Adams,Colorado,8001,57233,701
2021/5/1,Addison,Vermont,50001,1025,8
2021/5/1,Aiken,South Carolina,45003,17130,220
2021/5/1,Aitkin,Minnesota,27001,1321,36
2021/5/1,Alachua,Florida,12001,24678,275
2021/5/1,Alamance,North Carolina,37001,17794,264
2021/5/1,Alameda,California,6001,86623,1508
2021/5/1,Alamosa,Colorado,8003,1459,30
2021/5/1,Albany,Wyoming,56001,4242,11
2021/5/1,Albany,New York,36001,24159,347
2021/5/1,Albemarle,Virginia,51003,5705,83
2021/5/1,Alcona,Michigan,26001,704,28
2021/5/1,Alcorn,Mississippi,28003,3097,68
2021/5/1,Aleutians East Borough,Alaska,2013,364,3
2021/5/1,Alexander,Illinois,17003,464,11
2021/5/1,Alexander,North Carolina,37003,4351,83
2021/5/1,Alexandria city,Virginia,51510,11657,133
2021/5/1,Alfalfa,Oklahoma,40003,1156,7
2021/5/1,Alger,Michigan,26003,647,6
2021/5/1,Allamakee,Iowa,19005,1499,51
2021/5/1,Allegan,Michigan,26005,10353,131
2021/5/1,Allegany,New York,36003,3299,84
2021/5/1,Allegany,Maryland,24001,6842,207
2021/5/1,Alleghany,North Carolina,37005,1011,5
2021/5/1,Alleghany,Virginia,51005,1326,48
2021/5/1,Allegheny,Pennsylvania,42003,97521,1899
2021/5/1,Allen,Kansas,20001,1239,18
2021/5/1,Allen,Kentucky,21003,2054,40
2021/5/1,Allen,Louisiana,22003,3168,91
2021/5/1,Allen,Ohio,39003,11536,229
2021/5/1,Allen,Indiana,18003,40066,696
2021/5/1,Allendale,South Carolina,45005,915,15
2021/5/1,Alpena,Michigan,26007,2075,59
2021/5/1,Amador,California,6005,3649,47
2021/5/1,Amelia,Virginia,51007,879,31
2021/5/1,Amherst,Virginia,51009,2904,35
2021/5/1,Amite,Mississippi,28005,1227,41
2021/5/1,Anchorage,Alaska,2020,29964,171
2021/5/1,Anderson,Kansas,20003,836,18
2021/5/1,Anderson,Kentucky,21005,1728,21
2021/5/1,Anderson,Texas,48001,6108,120
2021/5/1,Anderson,Tennessee,47001,8729,172
2021/5/1,Anderson,South Carolina,45007,22650,517
2021/5/1,Andrew,Missouri,29003,1852,20
2021/5/1,Andrews,Texas,48003,1816,47
2021/5/1,Androscoggin,Maine,23001,7208,70
2021/5/1,Angelina,Texas,48005,8494,279
2021/5/1,Anne Arundel,Maryland,24003,42612,595
2021/5/1,Anoka,Minnesota,27003,40393,429
2021/5/1,Anson,North Carolina,37007,2527,55
2021/5/1,Antelope,Nebraska,31003,525,6
2021/5/1,Antrim,Michigan,26009,1531,27
2021/5/1,Apache,Arizona,4001,11317,428
2021/5/1,Appanoose,Iowa,19007,1276,47
2021/5/1,Appling,Georgia,13001,2309,71
2021/5/1,Appomattox,Virginia,51011,1583,24
2021/5/1,Aransas,Texas,48007,1247,39
2021/5/1,Arapahoe,Colorado,8005,58753,771
2021/5/1,Archer,Texas,48009,800,12
2021/5/1,Archuleta,Colorado,8007,900,1
2021/5/1,Arenac,Michigan,26011,1084,29
2021/5/1,Arkansas,Arkansas,5001,2095,36
2021/5/1,Arlington,Virginia,51013,15111,252
2021/5/1,Armstrong,Texas,48011,183,6
2021/5/1,Armstrong,Pennsylvania,42005,5741,131
2021/5/1,Aroostook,Maine,23003,1681,45
2021/5/1,Arthur,Nebraska,31005,22,1
2021/5/1,Ascension,Louisiana,22005,12080,164
2021/5/1,Ashe,North Carolina,37009,2081,41
2021/5/1,Ashland,Wisconsin,55003,1333,15
2021/5/1,Ashland,Ohio,39005,4197,89
2021/5/1,Ashley,Arkansas,5003,1996,34
2021/5/1,Ashtabula,Ohio,39007,6725,168
2021/5/1,Asotin,Washington,53003,1407,29
2021/5/1,Assumption,Louisiana,22007,2173,36
2021/5/1,Atascosa,Texas,48013,5747,150
